$Time_Field
$Time_Field$phylum_table
               Phylum  mean_imp   imp_sd   n
27                                      g__Mycobacterium  6.211508 0.6923905  2
28                                        g__Providencia  6.725534 1.5832781  2
29                                        g__Rhodococcus  9.870771 5.4582244  2
30                                      g__Aeromicrobium  7.347160 0.0000000  1
31                                        g__Amaricoccus  6.234150 0.0000000  1
32                                       g__Ammoniphilus  4.102743 0.0000000  1
33                           g__Candidatus_Nitrocosmicus  6.603224 0.0000000  1
34                                     g__Carnobacterium 10.031694 0.0000000  1
35                                       g__Cellulomonas  4.847341 0.0000000  1
36                                        g__Chloroplast  8.655492 0.0000000  1
37                                   g__Chryseobacterium  4.654119 0.0000000  1
38                        g__Clostridium_sensu_stricto_1  4.110175 0.0000000  1
39                       g__Clostridium_sensu_stricto_13  5.492402 0.0000000  1
40                                         g__Dubosiella  7.408129 0.0000000  1
41                                       g__Enterococcus  3.819803 0.0000000  1
42                                      g__Enterorhabdus  3.915332 0.0000000  1
43                                            g__Gaiella  5.043251 0.0000000  1
44                                      g__Herminiimonas  4.301712 0.0000000  1
45                                  g__Lachnoclostridium  6.770945 0.0000000  1
46                      g__Lachnospiraceae_NK4A136_group  3.634078 0.0000000  1
47                                        g__Lactococcus  4.115833 0.0000000  1
48                                      g__Lechevalieria  7.684890 0.0000000  1
49                                     g__Lysinibacillus  6.365693 0.0000000  1
50                                         g__Lysobacter  4.042283 0.0000000  1
51                                       g__Microlunatus  3.799831 0.0000000  1
52                                       g__Mitochondria  3.861658 0.0000000  1
53                                 g__Nitrososphaeraceae  5.650906 0.0000000  1
54                                       g__Ochrobactrum 12.495198 0.0000000  1
55                                          g__Oerskovia 12.447183 0.0000000  1
56                                         g__Paracoccus  4.560469 0.0000000  1
57                                     g__Pectobacterium  6.620615 0.0000000  1
58                                        g__Phycicoccus  5.664366 0.0000000  1
59                                  g__Pseudarthrobacter  5.538523 0.0000000  1
60                                   g__Pseudorhodoferax 10.099136 0.0000000  1
61                                         g__Rhodoferax 16.737356 0.0000000  1
62                                         g__Romboutsia  7.689867 0.0000000  1
63                                       g__Sphingomonas  4.232910 0.0000000  1
64                                       g__Streptomyces  6.018767 0.0000000  1
65                                        g__Terrabacter  9.865881 0.0000000  1
66                                       g__Turicibacter  5.473293 0.0000000  1


$Time_pot
$Time_pot$phylum_table
               Phylum  mean_imp    imp_sd   n
1   p__Proteobacteria 10.978527 5.8306947 169
2       p__Firmicutes  6.391804 1.8084927  37
3 p__Actinobacteriota  5.820458 1.1621098   8
4     p__Bacteroidota  9.503060 2.9095679   7
5    p__Cyanobacteria  4.605588 0.2977701   2
6    p__Crenarchaeota  4.314330 0.0000000   1
7 p__Desulfobacterota  4.648190 0.0000000   1

$Time_pot$class_table
                   Class  mean_imp    imp_sd   n
1 c__Gammaproteobacteria 11.115097 5.8918609 158
2             c__Bacilli  6.404284 1.8512727  33
3 c__Alphaproteobacteria  9.016879 4.4260391  11
4      c__Actinobacteria  5.820458 1.1621098   8
5         c__Bacteroidia  9.503060 2.9095679   7
6          c__Clostridia  6.288845 1.4033405   4
7      c__Cyanobacteriia  4.605588 0.2977701   2
8    c__Desulfovibrionia  4.648190 0.0000000   1
9     c__Nitrososphaeria  4.314330 0.0000000   1

$Time_pot$order_table
                                    Order  mean_imp    imp_sd  n
1                     o__Enterobacterales 10.092480 4.7375755 60
2                      o__Pseudomonadales 12.762066 6.4436952 54
3                      o__Burkholderiales 11.065285 5.9273675 31
4                           o__Bacillales  6.479577 1.8177085 24
5                        o__Aeromonadales  7.521549 4.6734703  8
6                          o__Rhizobiales 10.161270 4.6678066  8
7                   o__Sphingobacteriales  9.547731 3.1406273  6
8                      o__Xanthomonadales 11.657756 7.9834663  5
9                    o__Corynebacteriales  5.802566 1.1191293  4
10                     o__Lactobacillales  5.922437 1.6108608  4
11                       o__Clostridiales  5.547810 0.6535280  3
12                     o__Paenibacillales  6.457434 2.0233184  3
13                  o__Erysipelotrichales  6.384747 2.2488802  2
14                       o__Micrococcales  5.756082 0.8239424  2
15                     o__Rhodobacterales  5.755710 1.1216826  2
16                         o__Chloroplast  4.903041 0.0000000  1
17                    o__Cyanobacteriales  4.308135 0.0000000  1
18                  o__Desulfovibrionales  4.648190 0.0000000  1
19                    o__Flavobacteriales  9.235037 0.0000000  1
20                   o__Nitrososphaerales  4.314330 0.0000000  1
21 o__Peptostreptococcales-Tissierellales  8.511951 0.0000000  1
22                 o__Propionibacteriales  4.435816 0.0000000  1
23                   o__Pseudonocardiales  7.405419 0.0000000  1
24                    o__Sphingomonadales  6.384091 0.0000000  1

$Time_pot$family_table
                          Family  mean_imp    imp_sd  n
1            f__Pseudomonadaceae 13.157227 6.3697954 46
2          f__Enterobacteriaceae 11.159025 5.0458363 38
3                 f__Bacillaceae  6.730053 1.6335767 17
4              f__Comamonadaceae 10.994551 4.6370253 17
5            f__Oxalobacteraceae 11.538792 7.3182966 13
6                f__Yersiniaceae  9.528828 3.8262591 13
7              f__Aeromonadaceae  7.521549 4.6734703  8
8               f__Moraxellaceae 10.489890 6.3973881  8
9              f__Planococcaceae  5.871278 2.0802049  7
10                f__Erwiniaceae  6.340452 1.4614999  6
11               f__Rhizobiaceae 11.889722 4.1344307  6
12        f__Sphingobacteriaceae  9.547731 3.1406273  6
13           f__Xanthomonadaceae 11.657756 7.9834663  5
14             f__Clostridiaceae  5.547810 0.6535280  3
15           f__Lactobacillaceae  5.124220 0.9533299  3
16           f__Paenibacillaceae  6.457434 2.0233184  3
17        f__Erysipelotrichaceae  6.384747 2.2488802  2
18             f__Morganellaceae  5.848588 1.3120663  2
19           f__Mycobacteriaceae  6.069362 0.5622840  2
20               f__Nocardiaceae  5.535769 1.4313432  2
21           f__Rhodobacteraceae  5.755710 1.1216826  2
22             f__Alcaligenaceae  6.112181 0.0000000  1
23          f__Carnobacteriaceae  8.317087 0.0000000  1
24          f__Cellulomonadaceae  6.579147 0.0000000  1
25                f__Chloroplast  4.903041 0.0000000  1
26        f__Desulfovibrionaceae  4.648190 0.0000000  1
27          f__Flavobacteriaceae  9.235037 0.0000000  1
28          f__Hyphomicrobiaceae  5.087965 0.0000000  1
29         f__Intrasporangiaceae  4.933017 0.0000000  1
30         f__Nitrososphaeraceae  4.314330 0.0000000  1
31            f__Nocardioidaceae  4.435816 0.0000000  1
32          f__Pectobacteriaceae  7.891215 0.0000000  1
33      f__Peptostreptococcaceae  8.511951 0.0000000  1
34              f__Phormidiaceae  4.308135 0.0000000  1
35         f__Pseudonocardiaceae  7.405419 0.0000000  1
36 f__Rhizobiales_Incertae_Sedis  4.863860 0.0000000  1
37          f__Sphingomonadaceae  6.384091 0.0000000  1

$Time_pot$genus_table
                                                   Genus  mean_imp    imp_sd  n
1                                         g__Pseudomonas 13.157227 6.3697954 46
2                                                   <NA> 10.092022 4.9175124 31
3                                            g__Bacillus  6.852700 1.6061176 16
4                                            g__Serratia  9.528828 3.8262591 13
5                                       g__Acinetobacter 10.489890 6.3973881  8
6                                           g__Aeromonas  7.521549 4.6734703  8
7                                   g__Janthinobacterium 12.117556 9.0884529  6
8                                          g__Raoultella 12.452594 3.3084893  6
9  g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium 12.152004 4.4835288  5
10                                          g__Comamonas 10.482735 6.1079469  5
11                                          g__Duganella 11.674329 6.0435738  5
12                                       g__Enterobacter 13.641793 6.3729840  5
13                                            g__Pantoea  5.813158 0.9454570  5
14                                   g__Stenotrophomonas 13.254566 8.1807122  4
15                                      g__Lactobacillus  5.124220 0.9533299  3
16                                         g__Pedobacter  7.600158 3.1969801  3
17                                   g__Sphingobacterium 11.495303 1.3869228  3
18                                       g__Sporosarcina  7.532236 2.2266071  3
19                                         g__Variovorax 12.617933 1.2978585  3
20                                         g__Acidovorax  7.745229 1.3996667  2
21                       g__Clostridium_sensu_stricto_10  5.153328 0.4162453  2
22                                         g__Klebsiella 12.146760 2.5610637  2
23                                     g__Lysinibacillus  4.849333 0.6044293  2
24                                      g__Mycobacterium  6.069362 0.5622840  2
25                                      g__Paenibacillus  5.029890 0.1356919  2
26                                        g__Providencia  5.848588 1.3120663  2
27                                        g__Rhodococcus  5.535769 1.4313432  2
28                                                   g__  4.863860 0.0000000  1
29                                        g__Amaricoccus  4.635221 0.0000000  1
30                                       g__Ammoniphilus  9.312521 0.0000000  1
31                           g__Candidatus_Nitrocosmicus  4.314330 0.0000000  1
32                                     g__Carnobacterium  8.317087 0.0000000  1
33                                        g__Chloroplast  4.903041 0.0000000  1
34                       g__Clostridium_sensu_stricto_12  6.336774 0.0000000  1
35                                            g__Delftia 13.675942 0.0000000  1
36                                      g__Desulfovibrio  4.648190 0.0000000  1
37                                         g__Dubosiella  8.631233 0.0000000  1
38                                     g__Flavobacterium  9.235037 0.0000000  1
39                                     g__Herbaspirillum 11.411503 0.0000000  1
40                                      g__Herminiimonas  7.515805 0.0000000  1
41                                     g__Hyphomicrobium  5.087965 0.0000000  1
42                                      g__Lechevalieria  7.405419 0.0000000  1
43                                         g__Lysobacter  5.270516 0.0000000  1
44                                       g__Nocardioides  4.435816 0.0000000  1
45                                       g__Ochrobactrum 10.578313 0.0000000  1
46                                          g__Oerskovia  6.579147 0.0000000  1
47                                         g__Paracoccus  6.876199 0.0000000  1
48                                     g__Pectobacterium  7.891215 0.0000000  1
49                                   g__Pseudorhodoferax  8.603522 0.0000000  1
50                                         g__Rhodoferax 16.586786 0.0000000  1
51                                         g__Romboutsia  8.511951 0.0000000  1
52                                   g__Rummeliibacillus  4.461311 0.0000000  1
53                                       g__Solibacillus  4.342259 0.0000000  1
54                                       g__Sphingomonas  6.384091 0.0000000  1
55                                        g__Terrabacter  4.933017 0.0000000  1
56                                       g__Turicibacter  4.138260 0.0000000  1
57                            g__Tychonema_CCAP_1459-11B  4.308135 0.0000000  1
58                                        g__Verticiella  6.112181 0.0000000  1


$Treatment_field
$Treatment_field$phylum_table
               Phylum mean_imp   imp_sd   n
1   p__Proteobacteria 8.633466 3.436690 135
2       p__Firmicutes 7.311850 2.956663  42
3 p__Actinobacteriota 6.485010 1.544910   5
4     p__Bacteroidota 6.764210 1.523591   3
5  p__Acidobacteriota 5.644775 1.170641   2
6    p__Crenarchaeota 4.533406 0.000000   1
7 p__Desulfobacterota 5.765884 0.000000   1

$Treatment_field$class_table
                    Class mean_imp    imp_sd   n
1  c__Gammaproteobacteria 8.732171 3.4375076 131
2              c__Bacilli 6.991981 2.8503653  28
3           c__Clostridia 7.951587 3.0602721  14
4       c__Actinobacteria 6.597911 1.7088851   4
5  c__Alphaproteobacteria 5.400867 0.9268037   4
6          c__Bacteroidia 6.764210 1.5235907   3
7       c__Blastocatellia 5.644775 1.1706409   2
8     c__Desulfovibrionia 5.765884 0.0000000   1
9      c__Nitrososphaeria 4.533406 0.0000000   1
10     c__Thermoleophilia 6.033405 0.0000000   1

$Treatment_field$order_table
                   Order  mean_imp    imp_sd  n
1    o__Enterobacterales  8.539852 2.7511343 56
2     o__Pseudomonadales  8.974067 3.7946296 49
3          o__Bacillales  5.966946 1.3640688 17
4     o__Burkholderiales  9.050577 4.6181202 13
5       o__Clostridiales  8.013262 2.9004040 11
6       o__Aeromonadales  7.292877 2.7740760 10
7     o__Lactobacillales  7.963789 1.8503346  7
8         o__Rhizobiales  5.400867 0.9268037  4
9     o__Xanthomonadales 11.789034 1.7813810  3
10   o__Blastocatellales  5.644775 1.1706409  2
11 o__Erysipelotrichales  8.485355 3.6013180  2
12   o__Flavobacteriales  7.419513 1.4810274  2
13     o__Lachnospirales  5.220252 0.6017159  2
14      o__Micrococcales  7.082039 1.7276504  2
15         o__Clostridia 12.735831 0.0000000  1
16  o__Corynebacteriales  4.568732 0.0000000  1
17 o__Desulfovibrionales  5.765884 0.0000000  1
18   o__Exiguobacterales 17.439838 0.0000000  1
19         o__Frankiales  7.658834 0.0000000  1
20         o__Gaiellales  6.033405 0.0000000  1
21  o__Nitrososphaerales  4.533406 0.0000000  1
22    o__Paenibacillales  4.180327 0.0000000  1
23 o__Sphingobacteriales  5.453602 0.0000000  1

$Treatment_field$family_table
                      Family  mean_imp    imp_sd  n
1        f__Pseudomonadaceae  8.944965 3.8916081 42
2      f__Enterobacteriaceae  8.612278 2.6848993 33
3            f__Yersiniaceae  9.260347 3.2181826 13
4          f__Aeromonadaceae  7.292877 2.7740760 10
5             f__Bacillaceae  6.232501 1.6519456 10
6          f__Clostridiaceae  8.100549 3.0144601  9
7          f__Comamonadaceae  9.624804 5.7146493  8
8           f__Moraxellaceae  9.148683 3.1460990  7
9          f__Planococcaceae  5.587582 0.6135665  7
10         f__Morganellaceae  7.874630 2.0784727  5
11       f__Oxalobacteraceae  8.245932 1.4945295  4
12            f__Erwiniaceae  6.913924 1.0486895  3
13       f__Lactobacillaceae  8.208603 1.3574029  3
14           f__Rhizobiaceae  5.518492 1.0441665  3
15       f__Xanthomonadaceae 11.789034 1.7813810  3
16      f__Blastocatellaceae  5.644775 1.1706409  2
17       f__Caloramatoraceae  7.620471 2.2805470  2
18    f__Erysipelotrichaceae  8.485355 3.6013180  2
19      f__Flavobacteriaceae  7.419513 1.4810274  2
20        f__Lachnospiraceae  5.220252 0.6017159  2
21          f__Vagococcaceae  6.193599 0.5163052  2
22                      <NA>  6.763556 1.2501018  2
23       f__Aquaspirillaceae  7.675338 0.0000000  1
24      f__Carnobacteriaceae 11.305316 0.0000000  1
25      f__Cellulomonadaceae  5.356292 0.0000000  1
26    f__Desulfovibrionaceae  5.765884 0.0000000  1
27        f__Enterococcaceae  7.428199 0.0000000  1
28      f__Exiguobacteraceae 17.439838 0.0000000  1
29            f__Gaiellaceae  6.033405 0.0000000  1
30    f__Geodermatophilaceae  7.658834 0.0000000  1
31 f__Hungateiclostridiaceae 12.735831 0.0000000  1
32     f__Intrasporangiaceae  8.807785 0.0000000  1
33       f__Mycobacteriaceae  4.568732 0.0000000  1
34     f__Nitrososphaeraceae  4.533406 0.0000000  1
35       f__Paenibacillaceae  4.180327 0.0000000  1
36    f__Sphingobacteriaceae  5.453602 0.0000000  1
37      f__Xanthobacteraceae  5.047991 0.0000000  1

$Treatment_field$genus_table
                                                   Genus  mean_imp    imp_sd  n
1                                         g__Pseudomonas  8.944965 3.8916081 42
2                                                   <NA>  8.111412 2.8186254 33
3                                            g__Serratia  9.260347 3.2181826 13
4                                           g__Aeromonas  7.292877 2.7740760 10
5                                            g__Bacillus  6.267732 1.7377768  9
6                                       g__Acinetobacter  9.148683 3.1460990  7
7                                         g__Providencia  7.874630 2.0784727  5
8                                          g__Raoultella  8.660616 2.6177671  5
9                                           g__Comamonas 12.910475 6.4591991  4
10                                       g__Sporosarcina  5.635681 0.6880861  4
11                       g__Clostridium_sensu_stricto_10  7.219568 2.1417045  3
12                                      g__Lactobacillus  8.208603 1.3574029  3
13                                   g__Stenotrophomonas 11.789034 1.7813810  3
14                                         g__Acidovorax  7.567631 0.6407009  2
15 g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium  5.674614 1.2503379  2
16                        g__Clostridium_sensu_stricto_8 11.382433 4.0762795  2
17                                       g__Enterobacter  9.752914 1.5434049  2
18                                     g__Flavobacterium  7.419513 1.4810274  2
19                                         g__Fonticella  7.620471 2.2805470  2
20                                  g__Janthinobacterium  9.187391 0.8287339  2
21                                         g__Klebsiella  9.078043 0.6332461  2
22                                     g__Lysinibacillus  5.203316 0.2297356  2
23                                            g__Pantoea  6.411857 0.9449636  2
24                                         g__Vagococcus  6.193599 0.5163052  2
25                                                   g__  5.047991 0.0000000  1
26                                       g__Ammoniphilus  4.180327 0.0000000  1
27                                  g__Anaerosporobacter  4.619199 0.0000000  1
28                                     g__Carnobacterium 11.305316 0.0000000  1
29                                       g__Cellulomonas  5.356292 0.0000000  1
30                        g__Clostridium_sensu_stricto_1  6.031887 0.0000000  1
31                       g__Clostridium_sensu_stricto_12  7.228973 0.0000000  1
32                        g__Clostridium_sensu_stricto_3  5.958950 0.0000000  1
33                                            g__Delftia  5.882496 0.0000000  1
34                                      g__Desulfovibrio  5.765884 0.0000000  1
35                                         g__Dubosiella 12.082705 0.0000000  1
36                                          g__Duganella  5.888726 0.0000000  1
37                                       g__Enterococcus  7.428199 0.0000000  1
38                                    g__Exiguobacterium 17.439838 0.0000000  1
39                                            g__Gaiella  6.033405 0.0000000  1
40                                    g__JGI_0001001-H03  6.814126 0.0000000  1
41                                       g__Microvirgula  7.675338 0.0000000  1
42                                      g__Modestobacter  7.658834 0.0000000  1
43                                      g__Mycobacterium  4.568732 0.0000000  1
44                                 g__Noviherbaspirillum  8.720219 0.0000000  1
45                                     g__Oceanobacillus  5.915421 0.0000000  1
46                                       g__Ochrobactrum  5.206247 0.0000000  1
47                                   g__Sphingobacterium  5.453602 0.0000000  1
48                                        g__Terrabacter  8.807785 0.0000000  1
49                                       g__Turicibacter  4.888006 0.0000000  1
50                                         g__Variovorax  4.338772 0.0000000  1


$Treatment_pot
$Treatment_pot$phylum_table
               Phylum mean_imp    imp_sd   n
1   p__Proteobacteria 9.691535 4.2157226 122
2       p__Firmicutes 8.275936 3.3970112  11
3 p__Actinobacteriota 5.818344 0.4174382   7
4     p__Bacteroidota 9.522844 4.2997221   3
5 p__Bdellovibrionota 7.773975 0.0000000   1

$Treatment_pot$class_table
                   Class  mean_imp    imp_sd   n
1 c__Gammaproteobacteria  9.820532 4.2942140 112
2 c__Alphaproteobacteria  8.246770 2.8321686  10
3             c__Bacilli  7.515132 2.7621351   9
4      c__Actinobacteria  5.818344 0.4174382   7
5         c__Bacteroidia  9.522844 4.2997221   3
6          c__Clostridia 11.699556 3.8514125   2
7         c__Oligoflexia  7.773975 0.0000000   1

$Treatment_pot$order_table
                                    Order  mean_imp    imp_sd  n
1                     o__Enterobacterales  8.994161 3.8111200 45
2                      o__Pseudomonadales 10.770814 3.8824786 43
3                      o__Burkholderiales  9.833337 5.5475945 12
4                        o__Aeromonadales  9.628444 5.9713809  7
5                          o__Rhizobiales  8.854032 3.1003619  7
6                      o__Lactobacillales  6.887173 2.0998235  5
7                        o__Micrococcales  6.024959 0.2896989  5
8                      o__Xanthomonadales  9.323642 3.8460893  5
9                     o__Sphingomonadales  6.829826 1.2020037  3
10                          o__Bacillales  5.876374 0.1656495  2
11                  o__Sphingobacteriales  6.565986 1.2108588  2
12                       o__Bacteroidales 15.436559 0.0000000  1
13                       o__Clostridiales  7.852242 0.0000000  1
14                   o__Corynebacteriales  5.464144 0.0000000  1
15                  o__Erysipelotrichales 13.774697 0.0000000  1
16                    o__Exiguobacterales  7.672876 0.0000000  1
17                       o__Oligoflexales  7.773975 0.0000000  1
18 o__Peptostreptococcales-Tissierellales 15.546869 0.0000000  1
19                 o__Propionibacteriales  5.139473 0.0000000  1

$Treatment_pot$family_table
                     Family  mean_imp     imp_sd  n
1       f__Pseudomonadaceae 10.836522 4.03513096 34
2     f__Enterobacteriaceae  8.533554 2.60279068 20
3           f__Yersiniaceae  9.723386 4.21010266 11
4          f__Moraxellaceae 10.522585 3.23036201  9
5         f__Aeromonadaceae  9.628444 5.97138094  7
6         f__Comamonadaceae 10.255544 6.93264385  6
7           f__Rhizobiaceae  9.399895 3.02128642  6
8       f__Xanthomonadaceae  9.323642 3.84608934  5
9                      <NA> 11.402455 5.39830442  5
10           f__Erwiniaceae  5.197552 0.45341650  4
11        f__Micrococcaceae  6.112440 0.25811540  4
12      f__Oxalobacteraceae  8.712721 3.56657766  4
13        f__Morganellaceae  8.172539 2.65071422  3
14     f__Sphingomonadaceae  6.829826 1.20200369  3
15           f__Bacillaceae  5.876374 0.16564948  2
16      f__Lactobacillaceae  4.667688 0.01652276  2
17     f__Pectobacteriaceae 12.394406 4.11738875  2
18   f__Sphingobacteriaceae  6.565986 1.21085877  2
19      f__Aquaspirillaceae 14.139141 0.00000000  1
20        f__Clostridiaceae  7.852242 0.00000000  1
21     f__Dysgonomonadaceae 15.436559 0.00000000  1
22       f__Enterococcaceae  6.485679 0.00000000  1
23   f__Erysipelotrichaceae 13.774697 0.00000000  1
24     f__Exiguobacteraceae  7.672876 0.00000000  1
25     f__Microbacteriaceae  5.675034 0.00000000  1
26      f__Mycobacteriaceae  5.464144 0.00000000  1
27       f__Nocardioidaceae  5.139473 0.00000000  1
28         f__Oligoflexales  7.773975 0.00000000  1
29 f__Peptostreptococcaceae 15.546869 0.00000000  1
30        f__Rhodocyclaceae  7.476749 0.00000000  1
31      f__Streptococcaceae  9.693737 0.00000000  1
32         f__Vagococcaceae  8.921076 0.00000000  1
33     f__Xanthobacteraceae  5.578850 0.00000000  1

$Treatment_pot$genus_table
                                                   Genus  mean_imp     imp_sd  n
1                                         g__Pseudomonas 10.836522 4.03513096 34
2                                                   <NA>  8.999792 3.59662942 26
3                                            g__Serratia  9.723386 4.21010266 11
4                                       g__Acinetobacter 10.522585 3.23036201  9
5                                           g__Aeromonas  9.628444 5.97138094  7
6                                    g__Stenotrophomonas  9.323642 3.84608934  5
7                                   g__Janthinobacterium  9.406563 3.87791892  3
8                                             g__Pantoea  5.368216 0.39691609  3
9                                         g__Providencia  8.172539 2.65071422  3
