Abbriviation;Phylum;Class;Order;Family;Genus;Species;FeedingGuild;SpecificFeeding;Development
Lw_larv_;Arthropoda;Insecta;Neuroptera;Chrysopidae;;;Carnivore;;Larva
Lw;Arthropoda;Insecta;Neuroptera;Chrysopidae;;;Carnivore;;adult
Tor_larv_;Arthropoda;Insecta;Coleoptera;Chrysomelidae;;;Herbivore;Chewing;Larva
Mum;Arthropoda;Insecta;Hemiptera;Aphididae;;;Herbivore;Sucking;Parasitised
Hov_lar_;Arthropoda;Insecta;Diptera;Syrphidae;;;Carnivore;;Larva
Hov_coc_;Arthropoda;Insecta;Diptera;Syrphidae;;;Carnivore;;Cocoon
Hov_egg_;Arthropoda;Insecta;Diptera;Syrphidae;;;Carnivore;;Egg
Ag_cat_;Arthropoda;Insecta;Lepidoptera;Noctuidae;Autographa;gamma;Herbivore;Chewing;Larva
Ag_coc_;Arthropoda;Insecta;Lepidoptera;Noctuidae;Autographa;gamma;Herbivore;Chewing;Cocoon
c_bug;Arthropoda;Insecta;Hemiptera;Pentatomidae;Eurydema;oleracea;Herbivore;Sucking;
Ef_v_cat_;Arthropoda;Insecta;Lepidoptera;Crambidae;Evergestis;forfocalis;Herbivore;Chewing;Larva
Ef_v_egg_;Arthropoda;Insecta;Lepidoptera;Crambidae;Evergestis;forfocalis;Herbivore;Chewing;Egg
Mm;Arthropoda;Insecta;Hymenoptera;Braconidae;Microplitis;mediator;Parasitoid;;
Gm;Arthropoda;Insecta;Diptera;Cecidomyiidae;;;Gall herbivore;;
Ev_X_cat_;Arthropoda;Insecta;Lepidoptera;Crambidae;Evergestis;extimalis;Herbivore;Chewing;Larva
Un_e;Arthropoda;Insecta;;;;;Unidentified;;Egg
Un_e_paras_;Arthropoda;Insecta;;;;;Unidentified;;Parasitised
Un_cat;Arthropoda;Insecta;Lepidoptera;;;;Herbivore;Chewing;Larva
Un_cat_paras_;Arthropoda;Insecta;Lepidoptera;;;;Herbivore;Chewing;Parasitised
Un_coc;Arthropoda;Insecta;Lepidoptera;;;;Herbivore;Chewing;Cocoon
Col_sp;Arthropoda;Insecta;Coleoptera;;;;Unidentified;;
Car;Arthropoda;Insecta;Coleoptera;Carabidae;;;Carnivore;;
Cic;Arthropoda;Insecta;Hemiptera;Cicadoidea;;;Herbivore;Sucking;
Ful;Arthropoda;Insecta;Hemiptera;Fulgoroidea;;;Herbivore;Sucking;
